age,job,marital,education,id
33,admin.,married,high.school,1
33,admin.,married,high.school,2
27,blue-collar,single,basic.6y,3
42,technician,married,high.school,4
43,admin.,divorced,basic.9y,5
42,admin.,married,university.degree,6
27,blue-collar,single,basic.6y,7
34,self-employed,single,university.degree,8
31,student,single,university.degree,9
54,management,divorced,university.degree,10
40,self-employed,married,basic.4y,11
52,unemployed,married,high.school,12
47,management,divorced,university.degree,13
49,housemaid,married,basic.9y,14
32,admin.,single,high.school,15
49,housemaid,single,high.school,16
50,blue-collar,married,basic.9y,17
34,services,married,high.school,18
55,blue-collar,married,basic.4y,19
47,technician,single,basic.9y,20
51,retired,married,professional.course,21
47,blue-collar,married,basic.6y,22
56,technician,married,basic.4y,23
53,admin.,married,basic.9y,24
36,blue-collar,married,basic.9y,25
42,blue-collar,divorced,basic.9y,26
44,blue-collar,divorced,basic.6y,27
39,housemaid,married,basic.9y,28
37,admin.,single,high.school,29
60,blue-collar,married,unknown,30
36,services,married,high.school,31
42,management,divorced,university.degree,32
31,admin.,married,high.school,33
53,technician,divorced,professional.course,34
45,blue-collar,married,basic.4y,35
37,technician,single,professional.course,36
47,self-employed,married,professional.course,37
49,blue-collar,divorced,high.school,38
36,admin.,married,university.degree,39
35,services,divorced,high.school,40
38,unknown,married,unknown,41
38,services,single,high.school,42
50,blue-collar,divorced,high.school,43
59,retired,married,professional.course,44
43,unknown,married,unknown,45
42,admin.,married,high.school,46
40,admin.,married,basic.6y,47
46,blue-collar,married,unknown,48
57,housemaid,divorced,basic.4y,49
42,admin.,married,university.degree,50
41,blue-collar,married,basic.4y,51
54,management,divorced,university.degree,52
27,admin.,single,university.degree,53
36,admin.,married,high.school,54
58,blue-collar,married,professional.course,55
40,management,married,university.degree,56
34,admin.,single,basic.9y,57
33,admin.,divorced,high.school,58
56,retired,married,basic.6y,59
42,blue-collar,married,basic.9y,60
43,services,married,high.school,61
54,management,single,basic.9y,62
53,admin.,single,basic.6y,63
42,technician,single,unknown,64
40,services,married,basic.6y,65
54,technician,married,professional.course,66
40,housemaid,single,professional.course,67
26,admin.,single,university.degree,68
33,admin.,married,high.school,69
35,blue-collar,married,basic.9y,70
36,admin.,married,high.school,71
